"purdetSNo","purid","purbillno","itemid","puritemqty","purrate","itemmrp","itemcustomcode","itemsalerate","itemtaxid"
"8364","1017",NULL,"5914","14.00","138.00","205.00",NULL,"148.00","GSTNIL"
"8365","1017",NULL,"5915","29.00","69.00","95.00",NULL,"78.00","GSTNIL"
"8349","1016",NULL,"5934","60.00","52.50","75.00",NULL,"63.00","GSTNIL"
"8350","1016",NULL,"6546","15.00","62.00","110.00",NULL,"72.00","GSTNIL"
"8351","1016",NULL,"6079","30.00","31.00","65.00",NULL,"38.00","GSTNIL"
"8352","1016",NULL,"6448","15.00","68.00","95.00",NULL,"80.00","GSTNIL"
"8353","1016",NULL,"6449","30.00","34.00","55.00",NULL,"43.00","GSTNIL"
"8354","1016",NULL,"6142","15.00","120.00","145.00",NULL,"130.00","GSTNIL"
"8355","1016",NULL,"6141","30.00","60.00","75.00",NULL,"68.00","GSTNIL"
"8356","1016",NULL,"5914","1.00","138.00","205.00",NULL,"148.00","GSTNIL"
"8357","1016",NULL,"5915","1.00","69.00","95.00",NULL,"78.00","GSTNIL"
"8346","1015",NULL,"7910","40.00","157.50","255.00",NULL,"170.00","GST5"
"8347","1015",NULL,"6405","25.00","54.00","95.00",NULL,"65.00","GST12"
"8348","1015",NULL,"7622","20.00","312.50","495.00",NULL,"345.00","GST5"
"8339","1014",NULL,"5920","40.00","115.00","145.00",NULL,"125.00","GST5"
"8340","1014",NULL,"6558","100.00","37.50","60.00",NULL,"48.00","GST5"
"8341","1014",NULL,"6557","50.00","15.00","25.00",NULL,"22.00","GST5"
"8342","1014",NULL,"7632","50.00","11.00","30.00",NULL,"18.00","GST5"
"8324","1013",NULL,"6111","60.00","163.50","195.00",NULL,"180.00","GSTNIL"
"8325","1013",NULL,"6142","30.00","120.70","145.00",NULL,"130.00","GSTNIL"
"8326","1013",NULL,"6141","60.00","60.35","75.00",NULL,"68.00","GSTNIL"
"8327","1013",NULL,"5927","60.00","100.70","135.00",NULL,"110.00","GSTNIL"
"8328","1013",NULL,"5929","15.00","100.70","135.00",NULL,"115.00","GSTNIL"
"8329","1013",NULL,"5930","30.00","50.35","75.00",NULL,"63.00","GSTNIL"
"8330","1013",NULL,"6546","15.00","60.70","110.00",NULL,"70.00","GSTNIL"
"8331","1013",NULL,"6079","30.00","30.35","65.00",NULL,"38.00","GSTNIL"
"8332","1013",NULL,"6065","20.00","80.35","99.00",NULL,"92.00","GSTNIL"
"8333","1013",NULL,"5932","15.00","90.70","135.00",NULL,"102.00","GSTNIL"
"8334","1013",NULL,"6628","30.00","45.35","75.00",NULL,"52.00","GSTNIL"
"8335","1013",NULL,"5931","20.00","80.35","105.00",NULL,"92.00","GSTNIL"
"8336","1013",NULL,"94","20.00","47.85","70.00",NULL,"58.00","GSTNIL"
"8317","1012",NULL,"102","50.00","152.50","195.00",NULL,"170.00","GSTNIL"
"8318","1012",NULL,"6699","2.00","1209.00","1850.00",NULL,"1261.00","GSTNIL"
"8319","1012",NULL,"5943","150.00","42.00","62.00",NULL,"48.00","GSTNIL"
"8320","1012",NULL,"6052","50.00","50.00","85.00",NULL,"58.00","GSTNIL"
"8321","1012",NULL,"5958","50.00","62.00","85.00",NULL,"68.00","GSTNIL"
"8322","1012",NULL,"6105","52.00","50.00","70.00",NULL,"58.00","GSTNIL"
"8314","1011",NULL,"6546","15.00","64.70","110.00",NULL,"75.00","GSTNIL"
"8315","1011",NULL,"6079","30.00","32.35","65.00",NULL,"40.00","GSTNIL"
"8313","1010",NULL,"5961","100.00","61.51","80.00",NULL,"78.00","GST5"
"8310","1009",NULL,"11857","40.00","220.00","380.00",NULL,"265.00","GST5"
"8311","1009",NULL,"8238","40.00","175.00","245.00",NULL,"195.00","GST5"
"8303","1008",NULL,"11746","6.00","522.00","500.00",NULL,"575.00","GST5"
"8304","1008",NULL,"11745","6.00","1045.00","500.00",NULL,"1120.00","GST5"
"8305","1008",NULL,"8237","40.00","155.00","235.00",NULL,"185.00","GST5"
"8306","1008",NULL,"6444","40.00","130.00","175.00",NULL,"155.00","GST5"
"8272","1007",NULL,"6111","60.00","168.50","195.00",NULL,"180.00","GSTNIL"
"8273","1007",NULL,"6448","45.00","70.70","95.00",NULL,"80.00","GSTNIL"
"8274","1007",NULL,"6449","30.00","35.35","55.00",NULL,"43.00","GSTNIL"
"8275","1007",NULL,"5916","45.00","73.70","115.00",NULL,"86.00","GSTNIL"
"8276","1007",NULL,"5917","30.00","36.85","65.00",NULL,"46.00","GSTNIL"
"8277","1007",NULL,"5918","30.00","105.70","135.00",NULL,"117.00","GSTNIL"
"8278","1007",NULL,"5919","60.00","52.85","75.00",NULL,"62.00","GSTNIL"
"8279","1007",NULL,"5929","15.00","110.70","135.00",NULL,"121.00","GSTNIL"
"8280","1007",NULL,"5930","30.00","55.35","75.00",NULL,"65.00","GSTNIL"
"8281","1007",NULL,"5924","15.00","108.70","135.00",NULL,"120.00","GSTNIL"
"8282","1007",NULL,"5925","30.00","54.35","85.00",NULL,"63.00","GSTNIL"
"8283","1007",NULL,"5934","60.00","54.35","75.00",NULL,"63.00","GSTNIL"
"8284","1007",NULL,"6085","15.00","100.70","140.00",NULL,"118.00","GSTNIL"
"8285","1007",NULL,"6084","30.00","50.35","75.00",NULL,"60.00","GSTNIL"
"8286","1007",NULL,"5931","20.00","75.35","105.00",NULL,"85.00","GSTNIL"
"8287","1007",NULL,"11764","40.00","35.18","55.00",NULL,"45.00","GST5"
"8288","1007",NULL,"5914","15.00","135.70","205.00",NULL,"145.00","GSTNIL"
"8289","1007",NULL,"5915","30.00","67.85","95.00",NULL,"78.00","GSTNIL"
"8257","1005",NULL,"5964","60.00","31.00","45.00",NULL,"36.00","GSTNIL"
"8258","1005",NULL,"102","40.00","155.00","195.00",NULL,"170.00","GSTNIL"
"8259","1005",NULL,"5951","100.00","50.00","68.00",NULL,"56.00","GSTNIL"
"8260","1005",NULL,"6052","50.00","52.00","85.00",NULL,"58.00","GSTNIL"
"8261","1005",NULL,"6699","2.00","1222.00","1850.00",NULL,"1315.00","GSTNIL"
"8262","1005",NULL,"5966","100.00","27.50","38.00",NULL,"33.00","GSTNIL"
"8263","1005",NULL,"5958","50.00","62.00","85.00",NULL,"68.00","GSTNIL"
"8264","1005",NULL,"6059","30.00","110.00","145.00",NULL,"120.00","GSTNIL"
"8265","1005",NULL,"10553","1.00","1750.00","2250.00",NULL,"1825.00","GSTNIL"
"8250","1004",NULL,"6278","6.00","45.00","80.00",NULL,"60.00","GSTNIL"
"8251","1004",NULL,"6279","6.00","26.00","60.00",NULL,"38.00","GSTNIL"
"8252","1004",NULL,"6590","53.00","7.53","30.00",NULL,"23.00","GSTNIL"
"8253","1004",NULL,"9516","10.00","18.00","65.00",NULL,"35.00","GSTNIL"
"8254","1004",NULL,"6433","24.00","12.50","35.00",NULL,"25.00","GSTNIL"
"8243","1003",NULL,"2898","300.00","175.50","390.00",NULL,"195.00","GST12"
"8244","1003",NULL,"2900","90.00","87.75","125.00",NULL,"98.00","GST12"
"8245","1003",NULL,"2903","30.00","76.49","170.00",NULL,"88.00","GST12"
"8246","1003",NULL,"2901","30.00","80.72","115.00",NULL,"92.00","GST12"
"8247","1003",NULL,"2904","30.00","80.72","115.00",NULL,"92.00","GST12"
"8248","1003",NULL,"2944","24.00","108.00","240.00",NULL,"120.00","GST5"
"8249","1003",NULL,"2920","24.00","85.05","189.00",NULL,"105.00","GST5"
"8228","1002",NULL,"5978","100.00","36.25","65.00",NULL,"48.00","GST5"
"8229","1002",NULL,"6634","100.00","95.00","135.00",NULL,"105.00","GST5"
"8230","1002",NULL,"6558","100.00","37.50","60.00",NULL,"48.00","GST5"
"8231","1002",NULL,"6420","20.00","55.00","80.00",NULL,"68.00","GST5"
"8232","1002",NULL,"5922","20.00","90.00","125.00",NULL,"105.00","GST5"
"8233","1002",NULL,"6570","300.00","19.50","45.00",NULL,"28.00","GST5"
"8234","1002",NULL,"6006","150.00","25.00","50.00",NULL,"35.00","GST5"
"8235","1002",NULL,"9751","40.00","62.50","90.00",NULL,"75.00","GSTNIL"
"8236","1002",NULL,"8234","10.00","125.00","175.00",NULL,"140.00","GST5"
"8237","1002",NULL,"6567","50.00","42.00","65.00",NULL,"54.00","GST5"
"8238","1002",NULL,"5920","60.00","105.00","145.00",NULL,"113.00","GST5"
"8239","1002",NULL,"5921","10.00","210.00","265.00",NULL,"230.00","GST5"
"8240","1002",NULL,"6509","50.00","15.00","35.00",NULL,"25.00","GST5"
"8241","1002",NULL,"7635","60.00","37.50","80.00",NULL,"48.00","GST5"
"8213","1001",NULL,"6600","270.00","110.70","140.00",NULL,"120.00","GSTNIL"
"8214","1001",NULL,"6601","120.00","55.35","75.00",NULL,"63.00","GSTNIL"
"8215","1001",NULL,"6448","45.00","70.70","95.00",NULL,"80.00","GSTNIL"
"8216","1001",NULL,"6449","30.00","35.35","55.00",NULL,"43.00","GSTNIL"
"8217","1001",NULL,"5916","45.00","75.70","115.00",NULL,"86.00","GSTNIL"
"8218","1001",NULL,"5917","30.00","37.85","65.00",NULL,"46.00","GSTNIL"
"8219","1001",NULL,"6216","15.00","62.70","82.00",NULL,"74.00","GSTNIL"
"8220","1001",NULL,"5913","30.00","31.35","58.00",NULL,"41.00","GSTNIL"
"8221","1001",NULL,"5191","60.00","62.35","78.00",NULL,"70.00","GSTNIL"
"8212","1000",NULL,"6060","520.00","90.00","125.00",NULL,"98.00","GSTNIL"
"8205","999",NULL,"6064","100.00","115.00","165.00",NULL,"130.00","GST5"
"8206","999",NULL,"6418","52.00","62.50","95.00",NULL,"72.00","GSTNIL"
"8207","999",NULL,"6573","30.00","80.00","180.00",NULL,"95.00","GST18"
"8208","999",NULL,"6575","50.00","70.00","185.00",NULL,"85.00","GST18"
"8209","999",NULL,"6574","40.00","40.00","90.00",NULL,"50.00","GST18"
"8198","998",NULL,"8796","50.00","39.40","95.00",NULL,"47.00","GSTNIL"
"8199","998",NULL,"5947","40.00","13.75","56.00",NULL,"23.00","GST5"
"8200","998",NULL,"5955","40.00","11.50","25.00",NULL,"20.00","GST5"
"8201","998",NULL,"10639","40.00","11.75","26.00",NULL,"20.00","GSTNIL"
"8202","998",NULL,"6764","10.00","27.50","45.00",NULL,"36.00","GSTNIL"
"8203","998",NULL,"6811","12.00","5.41","10.00",NULL,"9.00","GSTNIL"
"8183","997",NULL,"5964","60.00","31.00","45.00",NULL,"36.00","GSTNIL"
"8184","997",NULL,"102","40.00","155.00","195.00",NULL,"170.00","GSTNIL"
"8185","997",NULL,"5958","100.00","62.00","85.00",NULL,"68.00","GSTNIL"
"8186","997",NULL,"6059","30.00","100.00","145.00",NULL,"120.00","GSTNIL"
"8187","997",NULL,"6008","26.00","73.00","105.00",NULL,"80.00","GSTNIL"
"8188","997",NULL,"5943","100.00","42.00","62.00",NULL,"48.00","GSTNIL"
"8189","997",NULL,"5951","100.00","50.00","68.00",NULL,"56.00","GSTNIL"
"8190","997",NULL,"6052","50.00","52.00","85.00",NULL,"58.00","GSTNIL"
"8191","997",NULL,"6105","26.00","56.00","70.00",NULL,"63.00","GSTNIL"
"8168","996",NULL,"6546","15.00","66.70","110.00",NULL,"76.00","GSTNIL"
"8169","996",NULL,"6079","30.00","33.35","65.00",NULL,"40.00","GSTNIL"
"8170","996",NULL,"5929","15.00","105.70","135.00",NULL,"115.00","GSTNIL"
"8171","996",NULL,"5930","30.00","52.85","75.00",NULL,"60.00","GSTNIL"
"8172","996",NULL,"5932","15.00","90.70","135.00",NULL,"102.00","GSTNIL"
"8173","996",NULL,"6628","30.00","45.35","75.00",NULL,"52.00","GSTNIL"
"8174","996",NULL,"5937","15.00","100.70","130.00",NULL,"115.00","GSTNIL"
"8175","996",NULL,"5936","30.00","50.35","75.00",NULL,"60.00","GSTNIL"
"8176","996",NULL,"8944","20.00","60.35","95.00",NULL,"72.00","GSTNIL"
"8177","996",NULL,"6065","10.00","80.35","99.00",NULL,"92.00","GSTNIL"
"8178","996",NULL,"5931","10.00","75.35","105.00",NULL,"85.00","GSTNIL"
"8179","996",NULL,"6142","45.00","120.70","145.00",NULL,"130.00","GSTNIL"
"8180","996",NULL,"6141","30.00","60.35","75.00",NULL,"68.00","GSTNIL"
"8181","996",NULL,"6085","15.00","105.70","140.00",NULL,"118.00","GSTNIL"
"8182","996",NULL,"6084","30.00","52.49","75.00",NULL,"55.00","GSTNIL"
"8153","995",NULL,"6064","40.00","120.00","165.00",NULL,"130.00","GST5"
"8154","995",NULL,"5960","20.00","55.00","85.00",NULL,"65.00","GST5"
"8155","995",NULL,"6592","10.00","38.00","65.00",NULL,"49.00","GSTNIL"
"8156","995",NULL,"8311","40.00","160.00","225.00",NULL,"185.00","GST5"
"8157","995",NULL,"9770","20.00","50.00","95.00",NULL,"65.00","GST5"
"8158","995",NULL,"6677","50.00","11.00","25.00",NULL,"18.00","GST5"
"8159","995",NULL,"6271","20.00","45.00","94.00",NULL,"55.00","GST5"
"8160","995",NULL,"5969","12.00","18.33","55.00",NULL,"30.00","GST12"
"8161","995",NULL,"6664","10.00","40.00","95.00",NULL,"55.00","GST5"
"8162","995",NULL,"6570","50.00","22.00","45.00",NULL,"28.00","GST5"
"8163","995",NULL,"6674","10.00","95.00","165.00",NULL,"130.00","GST5"
"8122","994",NULL,"5914","30.00","140.70","205.00",NULL,"154.00","GSTNIL"
"8123","994",NULL,"5915","60.00","70.35","95.00",NULL,"78.00","GSTNIL"
"8124","994",NULL,"5979","15.00","115.70","165.00",NULL,"128.00","GSTNIL"
"8125","994",NULL,"5987","30.00","57.85","95.00",NULL,"68.00","GSTNIL"
"8126","994",NULL,"5929","15.00","103.70","135.00",NULL,"115.00","GSTNIL"
"8127","994",NULL,"5930","30.00","51.85","75.00",NULL,"60.00","GSTNIL"
"8128","994",NULL,"5924","15.00","108.70","135.00",NULL,"120.00","GSTNIL"
"8129","994",NULL,"5925","30.00","54.35","85.00",NULL,"63.00","GSTNIL"
"8130","994",NULL,"6434","15.00","100.70","135.00",NULL,"112.00","GSTNIL"
"8131","994",NULL,"6435","30.00","50.35","75.00",NULL,"58.00","GSTNIL"
"8132","994",NULL,"5934","60.00","52.35","75.00",NULL,"62.00","GSTNIL"
"8133","994",NULL,"5918","45.00","102.70","135.00",NULL,"115.00","GSTNIL"
"8134","994",NULL,"5919","30.00","51.35","75.00",NULL,"60.00","GSTNIL"
"8135","994",NULL,"5916","45.00","75.70","115.00",NULL,"86.00","GSTNIL"
"8136","994",NULL,"5917","30.00","37.85","65.00",NULL,"46.00","GSTNIL"
"8137","994",NULL,"6546","15.00","65.70","110.00",NULL,"76.00","GSTNIL"
"8138","994",NULL,"6079","30.00","32.85","65.00",NULL,"40.00","GSTNIL"
"8139","994",NULL,"5933","15.00","145.70","195.00",NULL,"158.00","GSTNIL"
"8140","994",NULL,"5942","30.00","72.85","98.00",NULL,"82.00","GSTNIL"
"8141","994",NULL,"6216","30.00","62.70","82.00",NULL,"74.00","GSTNIL"
"8142","994",NULL,"5913","60.00","31.35","58.00",NULL,"41.00","GSTNIL"
"8143","994",NULL,"6448","60.00","70.70","95.00",NULL,"80.00","GSTNIL"
"8144","994",NULL,"6449","60.00","35.35","55.00",NULL,"43.00","GSTNIL"
"8145","994",NULL,"6595","40.00","35.35","55.00",NULL,"43.00","GSTNIL"
"8146","994",NULL,"5923","10.00","37.85","60.00",NULL,"48.00","GSTNIL"
"8119","993",NULL,"5946","20.00","50.00","75.00",NULL,"65.00","GSTNIL"
"8120","993",NULL,"6657","10.00","28.00","48.00",NULL,"38.00","GSTNIL"
"8112","992",NULL,"6567","50.00","36.50","60.00",NULL,"49.00","GST5"
"8113","992",NULL,"5920","100.00","91.25","145.00",NULL,"98.00","GST5"
"8114","992",NULL,"6005","150.00","8.80","35.00",NULL,"17.00","GST5"
"8115","992",NULL,"8466","60.00","22.00","55.00",NULL,"33.00","GST5"
"8105","991",NULL,"102","30.00","155.00","195.00",NULL,"170.00","GSTNIL"
"8106","991",NULL,"5951","150.00","48.00","68.00",NULL,"55.00","GSTNIL"
"8107","991",NULL,"5943","100.00","44.00","62.00",NULL,"50.00","GSTNIL"
"8108","991",NULL,"6052","75.00","51.00","85.00",NULL,"57.00","GSTNIL"
"8109","991",NULL,"6699","2.00","1248.00","1850.00",NULL,"1315.00","GSTNIL"
"8110","991",NULL,"6059","30.00","100.00","145.00",NULL,"120.00","GSTNIL"
"8111","991",NULL,"5964","50.00","31.00","45.00",NULL,"36.00","GSTNIL"
"8090","990",NULL,"6111","70.00","163.50","195.00",NULL,"177.00","GSTNIL"
"8091","990",NULL,"6110","50.00","32.70","35.00",NULL,"38.00","GSTNIL"
"8092","990",NULL,"6142","75.00","115.70","145.00",NULL,"124.00","GSTNIL"
"8093","990",NULL,"6141","30.00","57.85","75.00",NULL,"65.00","GSTNIL"
"8094","990",NULL,"5914","15.00","145.70","205.00",NULL,"157.00","GSTNIL"
"8095","990",NULL,"5915","30.00","72.85","95.00",NULL,"82.00","GSTNIL"
"8096","990",NULL,"6065","10.00","75.35","99.00",NULL,"85.00","GSTNIL"
"8097","990",NULL,"8944","10.00","57.85","95.00",NULL,"68.00","GSTNIL"
"8098","990",NULL,"6595","60.00","35.35","55.00",NULL,"43.00","GSTNIL"
"8099","990",NULL,"5931","10.00","73.35","105.00",NULL,"83.00","GSTNIL"
"8083","989",NULL,"6420","20.00","55.00","80.00",NULL,"68.00","GST5"
"8084","989",NULL,"6558","100.00","37.50","60.00",NULL,"48.00","GST5"
"8085","989",NULL,"6634","60.00","92.50","135.00",NULL,"105.00","GST5"
"8086","989",NULL,"5922","20.00","80.00","125.00",NULL,"90.00","GST5"
"8087","989",NULL,"13985","10.00","36.00","65.00",NULL,"42.00","GSTNIL"
"8088","989",NULL,"13986","10.00","36.00","65.00",NULL,"42.00","GSTNIL"
"8082","988",NULL,"5920","40.00","92.50","145.00",NULL,"98.00","GST5"
"8075","987",NULL,"5946","40.00","50.00","75.00",NULL,"65.00","GSTNIL"
"8076","987",NULL,"5957","20.00","37.50","65.00",NULL,"50.00","GST5"
"8077","987",NULL,"5945","20.00","40.00","70.00",NULL,"55.00","GSTNIL"
"8078","987",NULL,"6081","25.00","29.00","75.00",NULL,"45.00","GST5"
"8079","987",NULL,"6657","10.00","28.00","48.00",NULL,"38.00","GSTNIL"
"8044","986",NULL,"6600","270.00","109.70","135.00",NULL,"120.00","GSTNIL"
"8045","986",NULL,"6601","120.00","54.85","65.00",NULL,"63.00","GSTNIL"
"8046","986",NULL,"5929","15.00","98.70","135.00",NULL,"110.00","GSTNIL"
"8047","986",NULL,"5930","30.00","49.35","75.00",NULL,"58.00","GSTNIL"
"8048","986",NULL,"5914","15.00","142.70","205.00",NULL,"155.00","GSTNIL"
"8049","986",NULL,"5915","30.00","71.35","95.00",NULL,"80.00","GSTNIL"
"8050","986",NULL,"5979","15.00","120.70","165.00",NULL,"132.00","GSTNIL"
"8051","986",NULL,"5987","30.00","60.35","95.00",NULL,"70.00","GSTNIL"
"8052","986",NULL,"6448","60.00","67.70","95.00",NULL,"78.00","GSTNIL"
"8053","986",NULL,"6449","60.00","33.85","55.00",NULL,"42.00","GSTNIL"
"8054","986",NULL,"5916","45.00","73.70","115.00",NULL,"84.00","GSTNIL"
"8055","986",NULL,"5917","30.00","36.85","65.00",NULL,"45.00","GSTNIL"
"8056","986",NULL,"5918","45.00","103.70","135.00",NULL,"115.00","GSTNIL"
"8057","986",NULL,"5919","30.00","51.85","75.00",NULL,"60.00","GSTNIL"
"8058","986",NULL,"6216","15.00","61.70","82.00",NULL,"71.00","GSTNIL"
"8059","986",NULL,"5913","30.00","30.43","58.00",NULL,"38.00","GSTNIL"
"8060","986",NULL,"6434","15.00","97.70","135.00",NULL,"112.00","GSTNIL"
"8061","986",NULL,"6435","30.00","48.85","75.00",NULL,"58.00","GSTNIL"
"8062","986",NULL,"11764","20.00","28.92","55.00",NULL,"38.00","GST5"
"8063","986",NULL,"6603","10.00","57.85","105.00",NULL,"70.00","GSTNIL"
"8064","986",NULL,"6571","20.00","47.00","85.00",NULL,"58.00","GSTNIL"
"8037","985",NULL,"102","60.00","150.00","195.00",NULL,"170.00","GSTNIL"
"8038","985",NULL,"10553","2.00","1768.00","2250.00",NULL,"1846.00","GSTNIL"
"8039","985",NULL,"5943","50.00","44.00","62.00",NULL,"50.00","GSTNIL"
"8040","985",NULL,"5958","50.00","62.00","85.00",NULL,"68.00","GSTNIL"
"8034","984",NULL,"5978","100.00","38.75","65.00",NULL,"50.00","GST5"
"8035","984",NULL,"5920","40.00","92.50","145.00",NULL,"98.00","GST5"
"8036","984",NULL,"6005","50.00","11.00","35.00",NULL,"17.00","GST5"
"8027","983",NULL,"6146","180.00","6.58","95.00",NULL,"15.00","GSTNIL"
"8028","983",NULL,"6162","5.00","24.00","50.00",NULL,"40.00","GSTNIL"
"8029","983",NULL,"5955","40.00","11.75","25.00",NULL,"20.00","GST5"
"8030","983",NULL,"10639","40.00","11.50","26.00",NULL,"20.00","GSTNIL"
"8031","983",NULL,"5947","40.00","13.75","56.00",NULL,"23.00","GST5"
"8032","983",NULL,"6765","40.00","18.75","40.00",NULL,"30.00","GSTNIL"
"8026","982",NULL,"8796","50.00","38.00","95.00",NULL,"47.00","GSTNIL"
"8011","981",NULL,"11857","40.00","247.50","380.00",NULL,"265.00","GST5"
"8012","981",NULL,"6315","120.00","115.00","240.00",NULL,"130.00","GSTNIL"
"8013","981",NULL,"12095","100.00","27.50","60.00",NULL,"51.00","GST5"
"8014","981",NULL,"13794","40.00","187.50","390.00",NULL,"220.00","GST5"
"8015","981",NULL,"6638","20.00","74.00","105.00",NULL,"85.00","GSTNIL"
"8016","981",NULL,"6639","12.00","185.00","260.00",NULL,"205.00","GSTNIL"
"8017","981",NULL,"5561","20.00","490.00","900.00",NULL,"505.00","GST5"
"8018","981",NULL,"7622","40.00","312.50","495.00",NULL,"345.00","GST5"
"7996","980",NULL,"5933","15.00","143.70","195.00",NULL,"156.00","GSTNIL"
"7997","980",NULL,"5942","30.00","71.85","88.00",NULL,"81.00","GSTNIL"
"7998","980",NULL,"5924","15.00","100.70","135.00",NULL,"112.00","GSTNIL"
"7999","980",NULL,"5925","30.00","50.35","85.00",NULL,"58.00","GSTNIL"
"8000","980",NULL,"6546","15.00","68.70","110.00",NULL,"78.00","GSTNIL"
"8001","980",NULL,"6079","30.00","34.35","65.00",NULL,"40.00","GSTNIL"
"8002","980",NULL,"6434","15.00","96.70","135.00",NULL,"112.00","GSTNIL"
"8003","980",NULL,"6435","30.00","48.35","75.00",NULL,"58.00","GSTNIL"
"8004","980",NULL,"5934","60.00","50.35","75.00",NULL,"60.00","GSTNIL"
"8005","980",NULL,"5937","15.00","90.70","130.00",NULL,"105.00","GSTNIL"
"8006","980",NULL,"5936","30.00","45.35","75.00",NULL,"55.00","GSTNIL"
"8007","980",NULL,"6085","15.00","93.70","140.00",NULL,"110.00","GSTNIL"
"8008","980",NULL,"6084","30.00","46.85","75.00",NULL,"55.00","GSTNIL"
"8009","980",NULL,"6216","30.00","61.70","82.00",NULL,"71.00","GSTNIL"
"8010","980",NULL,"5913","60.00","30.43","58.00",NULL,"38.00","GSTNIL"
"7981","979",NULL,"5918","30.00","104.70","135.00",NULL,"115.00","GSTNIL"
"7982","979",NULL,"5919","60.00","52.35","75.00",NULL,"60.00","GSTNIL"
"7983","979",NULL,"5916","45.00","75.70","115.00",NULL,"86.00","GSTNIL"
"7984","979",NULL,"5917","30.00","37.85","65.00",NULL,"46.00","GSTNIL"
"7985","979",NULL,"6142","120.00","113.70","145.00",NULL,"124.00","GSTNIL"
"7986","979",NULL,"6141","60.00","56.85","75.00",NULL,"65.00","GSTNIL"
"7987","979",NULL,"6448","60.00","66.70","95.00",NULL,"78.00","GSTNIL"
"7988","979",NULL,"6449","60.00","33.35","55.00",NULL,"42.00","GSTNIL"
"7978","978",NULL,"6412","50.00","17.80","45.00",NULL,"28.00","GST18"
"7979","978",NULL,"6413","40.00","89.00","165.00",NULL,"110.00","GST18"
"7963","977",NULL,"5929","15.00","100.70","135.00",NULL,"111.00","GSTNIL"
"7964","977",NULL,"5930","30.00","50.35","75.00",NULL,"58.00","GSTNIL"
"7965","977",NULL,"5914","15.00","152.70","205.00",NULL,"163.00","GSTNIL"
"7966","977",NULL,"5915","30.00","76.35","95.00",NULL,"85.00","GSTNIL"
"7967","977",NULL,"5979","15.00","122.70","165.00",NULL,"135.00","GSTNIL"
"7968","977",NULL,"5987","30.00","61.35","95.00",NULL,"70.00","GSTNIL"
"7969","977",NULL,"5932","15.00","80.70","135.00",NULL,"91.00","GSTNIL"
"7970","977",NULL,"6628","30.00","40.35","75.00",NULL,"48.00","GSTNIL"
"7971","977",NULL,"5191","60.00","62.35","78.00",NULL,"70.00","GSTNIL"
"7956","976",NULL,"5923","20.00","37.50","60.00",NULL,"48.00","GSTNIL"
"7957","976",NULL,"5931","20.00","72.50","105.00",NULL,"80.00","GSTNIL"
"7958","976",NULL,"6583","20.00","18.50","25.00",NULL,"25.00","GSTNIL"
"7959","976",NULL,"94","20.00","42.50","70.00",NULL,"55.00","GSTNIL"
"7960","976",NULL,"6595","30.00","35.16","55.00",NULL,"43.00","GSTNIL"
"7953","975",NULL,"5920","40.00","92.50","145.00",NULL,"98.00","GST5"
"7954","975",NULL,"6005","30.00","11.00","35.00",NULL,"17.00","GST5"
"7946","974",NULL,"10973","100.00","12.00","25.00",NULL,"18.00","GSTNIL"
"7947","974",NULL,"10972","100.00","12.00","25.00",NULL,"18.00","GSTNIL"
"7948","974",NULL,"10969","100.00","12.00","25.00",NULL,"18.00","GSTNIL"
"7949","974",NULL,"10975","100.00","12.00","25.00",NULL,"18.00","GSTNIL"
"7950","974",NULL,"10970","100.00","12.00","25.00",NULL,"18.00","GSTNIL"
"7951","974",NULL,"6441","20.00","10.00","30.00",NULL,"18.00","GST5"
"7952","974",NULL,"10327","12.00","25.00","135.00",NULL,"35.00","GSTNIL"
"7943","973",NULL,"13887","16.00","70.00","155.00",NULL,"80.00","GST5"
"7944","973",NULL,"13886","10.00","28.00","48.00",NULL,"38.00","GST5"
"7936","972",NULL,"8239","20.00","360.00","625.00",NULL,"410.00","GST5"
"7937","972",NULL,"12482","12.00","130.00","350.00",NULL,"175.00","GST5"
"7938","972",NULL,"8240","16.00","590.00","990.00",NULL,"660.00","GST5"
"7939","972",NULL,"6648","20.00","245.00","450.00",NULL,"265.00","GSTNIL"
"7940","972",NULL,"13885","20.00","345.00","280.00",NULL,"365.00","GST5"
"7941","972",NULL,"7910","40.00","157.50","255.00",NULL,"170.00","GST5"
"7942","972",NULL,"8238","40.00","177.50","245.00",NULL,"195.00","GST5"
"7935","971",NULL,"6315","60.00","111.25","240.00",NULL,"130.00","GSTNIL"
"7928","970",NULL,"5914","15.00","157.70","205.00",NULL,"168.00","GSTNIL"
"7929","970",NULL,"5915","30.00","78.85","95.00",NULL,"86.00","GSTNIL"
"7930","970",NULL,"5934","60.00","52.96","75.00",NULL,"60.00","GSTNIL"
"7931","970",NULL,"6546","15.00","66.70","110.00",NULL,"78.00","GSTNIL"
"7932","970",NULL,"6079","30.00","33.35","65.00",NULL,"40.00","GSTNIL"
"7913","969",NULL,"6699","4.00","1248.00","1850.00",NULL,"1300.00","GSTNIL"
"7914","969",NULL,"5959","26.00","48.00","75.00",NULL,"55.00","GSTNIL"
"7915","969",NULL,"6059","60.00","110.00","145.00",NULL,"120.00","GSTNIL"
"7916","969",NULL,"103","26.00","68.00","95.00",NULL,"78.00","GSTNIL"
"7917","969",NULL,"5958","50.00","62.00","85.00",NULL,"68.00","GSTNIL"
"7918","969",NULL,"10553","1.00","1768.00","2250.00",NULL,"1846.00","GSTNIL"
