"osid","itemid","itemqty","purrate","itemmrp","itemsalerate","entrydate","empid"
"OS1-18972","12096","1.00","90.00","155.00","140.00","2023-05-02","133"
"OS1-18973","1877","1.00","30.50","34.00","34.00","2023-05-02","133"
"OS1-18974","916","30.00","17.20","20.00","19.00","2023-05-02","131"
"OS1-18975","6549","10.00","5.67","10.00","6.00","2023-05-02","133"
"OS1-18976","14049","1.00","0.00","30.00","28.00","2023-05-02","133"
"OS1-18977","6595","2.00","35.35","55.00","43.00","2023-05-02","133"
"OS1-18978","3243","2.00","0.01","39.00","33.00","2023-05-02","133"
"OS1-18979","100","2.00","20.00","65.00","30.00","2023-05-02","133"
"OS1-18980","911","2.00","34.40","40.00","38.00","2023-05-02","133"
"OS1-18981","2213","1.00","68.80","80.00","76.00","2023-05-02","133"
"OS1-18982","6146","1.00","6.58","95.00","15.00","2023-05-02","131"
"OS1-18983","5978","4.00","36.25","65.00","48.00","2023-05-02","131"
"OS1-18984","2901","1.00","80.73","115.00","91.00","2023-05-02","131"
"OS1-18985","2003","1.00","169.11","195.00","179.00","2023-05-02","133"
"OS1-18986","11560","1.00","87.00","149.00","99.00","2023-05-02","133"
"OS1-18987","6141","2.00","60.35","75.00","68.00","2023-05-02","133"
"OS1-18988","8819","2.00","60.00","149.00","74.50","2023-05-02","133"
"OS1-18989","75","1.00","75.00","85.00","82.00","2023-05-02","133"
"OS1-18990","8554","1.00","50.00","95.00","69.00","2023-05-02","133"
"OS1-18991","6634","1.00","95.00","135.00","105.00","2023-05-02","133"
"OS1-18992","8554","1.00","50.00","95.00","69.00","2023-05-02","133"
"OS1-18993","2903","1.00","77.21","110.00","88.00","2023-05-02","133"
"OS1-18994","5946","6.00","50.00","75.00","65.00","2023-05-02","133"
"OS1-18995","7133","1.00","60.00","100.00","80.00","2023-05-02","133"
"OS1-18996","13346","1.00","74.25","99.00","89.00","2023-05-02","133"
"OS1-18997","100","10.00","20.00","65.00","30.00","2023-05-02","204"
"OS1-18998","1377","5.00","8.88","10.00","10.00","2023-05-02","133"
"OS1-18999","12077","2.00","8.88","10.00","10.00","2023-05-02","133"
"OS1-19000","911","2.00","34.40","40.00","38.00","2023-05-02","133"
"OS1-19001","6634","2.00","95.00","135.00","105.00","2023-05-02","133"
"OS1-19002","6549","25.00","5.67","10.00","6.00","2023-05-02","133"
"OS1-19003","34","2.00","102.50","155.00","115.00","2023-05-02","131"
"OS1-19004","35","1.00","215.00","325.00","225.00","2023-05-02","131"
"OS1-19005","1566","4.00","32.70","36.00","34.50","2023-05-02","131"
"OS1-19006","13985","2.00","36.00","65.00","48.00","2023-05-02","133"
"OS1-19007","6521","2.00","12.25","25.00","18.00","2023-05-02","133"
"OS1-19008","9917","2.00","35.72","40.00","38.00","2023-05-02","133"
"OS1-19009","2194","5.00","8.60","10.00","10.00","2023-05-02","133"
"OS1-19010","952","1.00","73.10","85.00","80.00","2023-05-02","133"
"OS1-19011","14267","10.00","75.00","85.00","80.00","2023-05-02","204"
"OS1-19012","13298","1.00","472.00","682.00","520.00","2023-05-02","133"
"OS1-19013","6429","1.00","9.70","25.00","18.00","2023-05-02","134"
"OS1-19014","12853","1.00","15.00","20.00","18.00","2023-05-02","134"
"OS1-19015","8585","1.00","46.00","70.00","60.00","2023-05-02","134"
"OS1-19016","921","1.00","43.00","50.00","48.00","2023-05-02","134"
"OS1-19017","2462","1.00","25.00","30.00","28.00","2023-05-02","131"
"OS1-19018","10343","1.00","80.00","120.00","105.00","2023-05-02","133"
"OS1-19019","12603","1.00","120.00","180.00","159.00","2023-05-02","133"
"OS1-19020","903","1.00","86.00","100.00","95.00","2023-05-02","134"
"OS1-19021","4316","2.00","200.23","250.00","225.00","2023-05-02","133"
"OS1-19022","4316","20.00","200.23","250.00","225.00","2023-05-02","133"
"OS1-19023","2436","1.00","134.25","220.00","187.00","2023-05-02","133"
"OS1-19024","9751","1.00","62.50","90.00","75.00","2023-05-02","133"
"OS1-19025","13544","2.00","75.00","85.00","80.00","2023-05-02","133"
"OS1-19026","6820","2.00","18.00","35.00","25.00","2023-05-02","131"
"OS1-19027","1410","2.00","83.46","100.00","92.00","2023-05-02","134"
"OS1-19028","8215","5.00","14.00","27.00","24.00","2023-05-02","134"
"OS1-19029","3335","2.00","30.33","35.00","33.50","2023-05-02","134"
"OS1-19030","1566","2.00","32.70","36.00","34.50","2023-05-02","134"
"OS1-19031","1566","2.00","32.70","36.00","34.50","2023-05-02","134"
"OS1-19032","13170","1.00","50.00","75.00","60.00","2023-05-02","134"
"OS1-19033","2901","1.00","80.73","115.00","91.00","2023-05-02","131"
"OS1-19034","13884","1.00","15.62","20.00","18.00","2023-05-02","134"
"OS1-19035","13882","1.00","15.62","20.00","18.00","2023-05-02","134"
"OS1-19036","1968","3.00","13.28","16.00","15.20","2023-05-02","134"
"OS1-19037","1967","4.00","13.44","15.00","14.25","2023-05-02","134"
"OS1-19038","12077","6.00","8.88","10.00","10.00","2023-05-02","134"
"OS1-19039","14187","1.00","16.96","20.00","20.00","2023-05-02","134"
"OS1-19040","13701","2.00","8.60","10.00","10.00","2023-05-02","134"
"OS1-19041","2763","2.00","14.08","15.00","15.00","2023-05-02","134"
"OS1-19042","34","1.00","102.50","155.00","115.00","2023-05-02","134"
"OS1-18901","3335","4.00","30.33","35.00","33.50","2023-05-01","133"
"OS1-18902","921","1.00","43.00","50.00","48.00","2023-05-01","133"
"OS1-18903","6657","2.00","28.00","48.00","38.00","2023-05-01","133"
"OS1-18904","6996","2.00","75.05","122.00","85.00","2023-05-01","133"
"OS1-18905","5599","1.00","28.50","32.00","32.00","2023-05-01","133"
"OS1-18906","1632","1.00","75.00","82.00","77.90","2023-05-01","133"
"OS1-18907","6549","10.00","5.67","10.00","6.00","2023-05-01","133"
"OS1-18908","3268","1.00","137.50","165.00","149.50","2023-05-01","133"
"OS1-18909","1566","2.00","32.70","36.00","34.50","2023-05-01","133"
"OS1-18910","6996","2.00","75.05","122.00","85.00","2023-05-01","133"
"OS1-18911","11564","1.00","95.05","160.00","112.00","2023-05-01","133"
"OS1-18912","11563","1.00","95.05","160.00","112.00","2023-05-01","133"
"OS1-18913","11565","1.00","87.00","149.00","99.00","2023-05-01","133"
"OS1-18914","6996","2.00","75.05","122.00","85.00","2023-05-01","133"
"OS1-18915","3348","1.00","31.25","35.00","33.25","2023-05-01","133"
"OS1-18916","7423","2.00","48.00","75.00","56.00","2023-05-01","133"
"OS1-18917","12096","1.00","90.00","155.00","140.00","2023-05-01","134"
"OS1-18918","6595","1.00","35.35","55.00","43.00","2023-05-01","134"
"OS1-18919","1278","1.00","33.75","45.00","38.25","2023-05-01","134"
"OS1-18920","5957","1.00","37.50","65.00","50.00","2023-05-01","134"
"OS1-18921","2194","1.00","8.60","10.00","10.00","2023-05-01","134"
"OS1-18922","13713","1.00","1.73","2.00","2.00","2023-05-01","134"
"OS1-18923","5945","2.00","40.00","70.00","55.00","2023-05-01","134"
"OS1-18924","5946","1.00","50.00","75.00","65.00","2023-05-01","134"
"OS1-18925","2901","1.00","80.73","115.00","91.00","2023-05-01","134"
"OS1-18926","6683","3.00","4.50","7.00","6.50","2023-05-01","134"
"OS1-18927","13701","2.00","8.60","10.00","10.00","2023-05-01","134"
"OS1-18928","1968","1.00","13.28","16.00","15.20","2023-05-01","134"
"OS1-18929","13701","1.00","8.60","10.00","10.00","2023-05-01","133"
"OS1-18930","5957","1.00","37.50","65.00","50.00","2023-05-01","134"
"OS1-18931","6549","10.00","5.67","10.00","6.00","2023-05-01","134"
"OS1-18932","6059","2.00","110.00","145.00","120.00","2023-05-01","134"
"OS1-18933","11562","1.00","87.00","149.00","99.00","2023-05-01","134"
"OS1-18934","75","2.00","75.00","85.00","82.00","2023-05-01","134"
"OS1-18935","1278","3.00","33.75","45.00","38.25","2023-05-01","134"
"OS1-18936","1278","3.00","33.75","45.00","38.25","2023-05-01","134"
"OS1-18937","2900","1.00","87.75","125.00","98.00","2023-05-01","131"
"OS1-18938","2194","1.00","8.60","10.00","10.00","2023-05-01","134"
"OS1-18939","6634","1.00","95.00","135.00","105.00","2023-05-01","133"
"OS1-18940","6521","4.00","12.25","25.00","18.00","2023-05-01","133"
"OS1-18941","5946","1.00","50.00","75.00","65.00","2023-05-01","134"
"OS1-18942","13346","1.00","74.25","99.00","89.00","2023-05-01","134"
"OS1-18943","6521","2.00","12.25","25.00","18.00","2023-05-01","134"
"OS1-18944","2206","1.00","25.80","30.00","28.50","2023-05-01","133"
"OS1-18945","2762","2.00","13.94","15.00","14.00","2023-05-01","133"
"OS1-18946","7141","2.00","13.15","15.00","14.00","2023-05-01","134"
"OS1-18947","6141","1.00","60.35","75.00","68.00","2023-05-01","134"
"OS1-18948","6549","10.00","5.67","10.00","6.00","2023-05-01","133"
"OS1-18949","916","1.00","17.20","20.00","19.00","2023-05-01","133"
"OS1-18950","6146","1.00","6.58","95.00","15.00","2023-05-01","133"
"OS1-18951","1949","1.00","168.00","230.00","175.00","2023-05-01","133"
"OS1-18952","6521","3.00","12.25","25.00","18.00","2023-05-01","134"
"OS1-18953","1570","1.00","135.28","162.00","145.00","2023-05-01","133"
"OS1-18954","6521","5.00","12.25","25.00","18.00","2023-05-01","134"
"OS1-18955","75","1.00","75.00","85.00","82.00","2023-05-01","133"
"OS1-18956","2762","1.00","13.94","15.00","14.00","2023-05-01","133"
"OS1-18957","4012","3.00","95.73","130.00","117.00","2023-05-01","134"
"OS1-18958","2904","1.00","80.73","115.00","91.00","2023-05-01","133"
"OS1-18959","536","1.00","177.68","199.00","183.00","2023-05-01","133"
"OS1-18960","536","1.00","177.68","199.00","183.00","2023-05-01","133"
"OS1-18961","1967","2.00","13.44","15.00","14.25","2023-05-01","133"
"OS1-18962","5957","1.00","37.50","65.00","50.00","2023-05-01","134"
"OS1-18963","5957","4.00","37.50","65.00","50.00","2023-05-01","134"
"OS1-18964","2436","1.00","134.25","204.00","173.00","2023-05-01","133"
"OS1-18965","5945","4.00","40.00","70.00","55.00","2023-05-01","133"
"OS1-18966","5946","4.00","50.00","75.00","65.00","2023-05-01","133"
"OS1-18967","2900","1.00","87.75","125.00","98.00","2023-05-01","134"
"OS1-18968","1566","2.00","32.70","36.00","34.50","2023-05-01","134"
"OS1-18969","2900","1.00","87.75","125.00","98.00","2023-05-01","134"
"OS1-18970","940","5.00","8.60","10.00","10.00","2023-05-01","134"
"OS1-18971","911","1.00","34.40","40.00","38.00","2023-05-01","134"
"OS1-18800","13583","1.00","14.25","16.00","16.00","2023-04-30","134"
"OS1-18801","3330","1.00","80.35","45.00","42.50","2023-04-30","134"
"OS1-18802","2362","1.00","68.50","72.00","72.00","2023-04-30","134"
"OS1-18803","14042","1.00","0.00","60.00","55.00","2023-04-30","134"
"OS1-18804","14047","1.00","210.00","249.00","236.55","2023-04-30","100"
"OS1-18805","13402","1.00","28.50","32.00","32.00","2023-04-30","134"
"OS1-18806","6549","30.00","5.67","10.00","6.00","2023-04-30","134"
"OS1-18807","13826","1.00","80.75","95.00","89.00","2023-04-30","134"
"OS1-18808","13402","1.00","28.50","32.00","32.00","2023-04-30","134"
"OS1-18809","13402","1.00","28.50","32.00","32.00","2023-04-30","134"
"OS1-18810","13583","1.00","14.25","16.00","16.00","2023-04-30","134"
"OS1-18811","6521","1.00","12.25","25.00","18.00","2023-04-30","134"
"OS1-18812","6141","2.00","60.35","75.00","68.00","2023-04-30","134"
"OS1-18813","6019","1.00","96.00","135.00","108.00","2023-04-30","134"
"OS1-18814","5127","1.00","12.00","15.00","14.00","2023-04-30","134"
"OS1-18815","14049","1.00","0.00","30.00","28.00","2023-04-30","134"
"OS1-18816","11520","2.00","38.70","45.00","42.75","2023-04-30","134"
"OS1-18817","931","2.00","24.82","30.00","28.00","2023-04-30","134"
"OS1-18818","6571","2.00","47.00","85.00","58.00","2023-04-30","134"
"OS1-18819","912","2.00","38.70","45.00","42.75","2023-04-30","134"
"OS1-18820","2201","2.00","34.40","40.00","38.00","2023-04-30","134"
"OS1-18821","1835","1.00","39.38","45.00","42.75","2023-04-30","204"
"OS1-18822","6657","1.00","28.00","48.00","38.00","2023-04-30","204"
"OS1-18823","5946","1.00","50.00","75.00","65.00","2023-04-30","134"
"OS1-18824","5114","1.00","71.20","89.00","75.65","2023-04-30","134"
"OS1-18825","2901","1.00","80.73","115.00","91.00","2023-04-30","134"
"OS1-18826","3261","2.00","26.64","37.00","31.45","2023-04-30","134"
"OS1-18827","6521","2.00","12.25","25.00","18.00","2023-04-30","134"
"OS1-18828","6521","3.00","12.25","25.00","18.00","2023-04-30","134"
"OS1-18829","1835","1.00","39.38","45.00","42.75","2023-04-30","131"
"OS1-18830","9484","5.00","30.09","54.00","34.00","2023-04-30","134"
"OS1-18831","5946","1.00","50.00","75.00","65.00","2023-04-30","134"
"OS1-18832","5957","1.00","37.50","65.00","50.00","2023-04-30","134"
"OS1-18833","2434","1.00","121.42","160.00","144.00","2023-04-30","134"
"OS1-18834","11559","1.00","87.00","149.00","99.00","2023-04-30","134"
"OS1-18835","11559","1.00","87.00","149.00","99.00","2023-04-30","134"
"OS1-18836","11560","1.00","87.00","149.00","99.00","2023-04-30","134"
"OS1-18837","6141","1.00","60.35","75.00","68.00","2023-04-30","204"
"OS1-18838","6141","3.00","60.35","75.00","68.00","2023-04-30","131"
"OS1-18839","1835","1.00","39.38","45.00","42.75","2023-04-30","134"
"OS1-18840","5946","10.00","50.00","75.00","65.00","2023-04-30","134"
"OS1-18841","11527","1.00","95.00","155.00","135.00","2023-04-30","131"
"OS1-18842","2194","2.00","8.60","10.00","10.00","2023-04-30","134"
"OS1-18843","916","2.00","17.20","20.00","19.00","2023-04-30","134"
"OS1-18844","2201","1.00","34.40","40.00","38.00","2023-04-30","134"
"OS1-18845","13701","2.00","8.60","10.00","10.00","2023-04-30","134"
"OS1-18846","3335","1.00","30.33","35.00","33.50","2023-04-30","134"
"OS1-18847","2201","2.00","34.40","40.00","38.00","2023-04-30","134"
"OS1-18848","5957","1.00","37.50","65.00","50.00","2023-04-30","134"
"OS1-18849","8845","1.00","76.30","109.00","92.65","2023-04-30","134"
"OS1-18850","11527","3.00","95.00","155.00","135.00","2023-04-30","134"
"OS1-18851","2434","1.00","121.42","160.00","144.00","2023-04-30","204"
"OS1-18852","13826","1.00","80.75","95.00","89.00","2023-04-30","131"
"OS1-18853","6996","1.00","75.05","122.00","85.00","2023-04-30","134"
"OS1-18854","13008","3.00","277.00","322.00","305.00","2023-04-30","131"
"OS1-18855","2523","3.00","180.94","215.00","204.25","2023-04-30","134"
"OS1-18856","1317","1.00","159.50","240.00","188.00","2023-04-30","134"
"OS1-18857","13402","1.00","28.50","32.00","32.00","2023-04-30","131"
"OS1-18858","6996","2.00","75.05","122.00","85.00","2023-04-30","134"
"OS1-18859","916","2.00","17.20","20.00","19.00","2023-04-30","134"
"OS1-18860","6645","1.00","5.00","15.00","8.00","2023-04-30","131"
"OS1-18861","9711","2.00","397.75","469.00","448.00","2023-04-30","134"
"OS1-18862","1949","1.00","168.00","230.00","175.00","2023-04-30","131"
"OS1-18863","1803","1.00","8.83","10.00","10.00","2023-04-30","134"
"OS1-18864","6657","1.00","28.00","48.00","38.00","2023-04-30","131"
"OS1-18865","1967","1.00","13.44","15.00","14.25","2023-04-30","134"
"OS1-18866","2205","2.00","8.60","10.00","10.00","2023-04-30","134"
"OS1-18867","6996","1.00","75.05","122.00","85.00","2023-04-30","134"
"OS1-18868","4327","2.00","24.80","35.00","29.00","2023-04-30","134"
"OS1-18869","3335","1.00","30.33","35.00","33.50","2023-04-30","134"
"OS1-18870","6657","2.00","28.00","48.00","38.00","2023-04-30","134"
"OS1-18871","3555","1.00","22.00","27.00","24.00","2023-04-30","134"
"OS1-18872","2201","10.00","34.40","40.00","38.00","2023-04-30","204"
"OS1-18873","11521","10.00","17.20","20.00","19.00","2023-04-30","204"
"OS1-18874","2216","10.00","8.60","10.00","9.50","2023-04-30","204"
"OS1-18875","11520","10.00","38.70","45.00","42.75","2023-04-30","204"
"OS1-18876","912","10.00","38.70","45.00","42.75","2023-04-30","204"
"OS1-18877","2205","10.00","8.60","10.00","10.00","2023-04-30","204"
"OS1-18878","910","10.00","17.20","20.00","19.00","2023-04-30","204"
"OS1-18879","5957","2.00","37.50","65.00","50.00","2023-04-30","134"
"OS1-18880","14156","5.00","0.00","5.00","4.85","2023-04-30","134"
"OS1-18881","14187","1.00","16.96","20.00","20.00","2023-04-30","134"
"OS1-18882","11117","1.00","48.04","60.00","54.00","2023-04-30","134"
"OS1-18883","2762","1.00","13.94","15.00","14.00","2023-04-30","134"
"OS1-18884","2901","1.00","80.73","115.00","91.00","2023-04-30","134"
"OS1-18885","2900","1.00","87.75","125.00","98.00","2023-04-30","134"
"OS1-18886","1835","10.00","39.38","45.00","42.75","2023-04-30","204"
"OS1-18887","6590","5.00","7.53","30.00","23.00","2023-04-30","134"
"OS1-18888","1949","1.00","168.00","230.00","175.00","2023-04-30","134"
"OS1-18889","2434","1.00","121.42","160.00","144.00","2023-04-30","134"
"OS1-18890","1278","2.00","33.75","45.00","38.25","2023-04-30","134"
"OS1-18891","2829","9.00","12.00","18.00","22.00","2023-04-30","134"
"OS1-18892","2454","1.00","209.09","276.00","234.00","2023-04-30","134"
"OS1-18893","1967","1.00","13.44","15.00","14.25","2023-04-30","134"
"OS1-18894","9317","1.00","8.45","10.00","10.00","2023-04-30","134"
"OS1-18895","9751","1.00","62.50","90.00","75.00","2023-04-30","134"
"OS1-18896","6521","2.00","12.25","25.00","18.00","2023-04-30","134"
"OS1-18897","6649","1.00","72.00","95.00","85.00","2023-04-30","134"
"OS1-18898","6649","1.00","72.00","95.00","85.00","2023-04-30","134"
"OS1-18899","5761","1.00","168.62","300.00","195.00","2023-04-30","134"
"OS1-18900","2194","1.00","8.60","10.00","10.00","2023-04-30","134"
"OS1-18753","2900","1.00","87.75","125.00","98.00","2023-04-29","134"
"OS1-18754","14282","10.00","0.01","10.00","9.50","2023-04-29","100"
"OS1-18755","6549","20.00","5.67","10.00","6.00","2023-04-29","134"
"OS1-18756","6996","2.00","75.05","122.00","85.00","2023-04-29","131"
"OS1-18757","13583","1.00","14.25","16.00","16.00","2023-04-29","134"
"OS1-18758","13402","1.00","28.50","32.00","32.00","2023-04-29","134"
"OS1-18759","2201","4.00","34.40","40.00","38.00","2023-04-29","133"
"OS1-18760","1835","1.00","39.38","45.00","42.75","2023-04-29","133"
"OS1-18761","5957","1.00","37.50","65.00","50.00","2023-04-29","133"
"OS1-18762","13583","1.00","14.25","16.00","16.00","2023-04-29","133"
"OS1-18763","916","1.00","17.20","20.00","19.00","2023-04-29","133"
"OS1-18764","53","4.00","39.47","45.00","43.00","2023-04-29","133"
"OS1-18765","13701","4.00","8.60","10.00","10.00","2023-04-29","133"
"OS1-18766","6521","1.00","12.25","25.00","18.00","2023-04-29","134"
"OS1-18767","12658","4.00","44.00","60.00","45.00","2023-04-29","133"
"OS1-18768","11937","1.00","66.15","86.00","75.00","2023-04-29","131"
"OS1-18769","12658","5.00","44.00","60.00","45.00","2023-04-29","131"
"OS1-18770","2361","1.00","31.40","34.00","34.00","2023-04-29","133"
"OS1-18771","9751","1.00","62.50","90.00","75.00","2023-04-29","131"
"OS1-18772","10343","1.00","80.00","120.00","105.00","2023-04-29","131"
"OS1-18773","11521","2.00","17.20","20.00","19.00","2023-04-29","133"
"OS1-18774","8585","2.00","46.00","70.00","60.00","2023-04-29","133"
"OS1-18775","2903","1.00","77.21","110.00","88.00","2023-04-29","131"
"OS1-18776","5957","1.00","37.50","65.00","50.00","2023-04-29","133"
"OS1-18777","6877","2.00","14.08","15.00","15.00","2023-04-29","133"
"OS1-18778","53","2.00","39.47","45.00","43.00","2023-04-29","133"
"OS1-18779","2901","1.00","80.73","115.00","91.00","2023-04-29","133"
"OS1-18780","2434","1.00","121.42","160.00","144.00","2023-04-29","133"
"OS1-18781","12479","2.00","86.00","100.00","95.00","2023-04-29","133"
"OS1-18782","2900","1.00","87.75","125.00","98.00","2023-04-29","133"
"OS1-18783","9912","1.00","98.00","136.00","105.00","2023-04-29","133"
"OS1-18784","35","1.00","215.00","325.00","225.00","2023-04-29","133"
"OS1-18785","13701","2.00","8.60","10.00","10.00","2023-04-29","133"
"OS1-18786","9751","1.00","62.50","90.00","75.00","2023-04-29","133"
"OS1-18787","11117","1.00","48.04","60.00","54.00","2023-04-29","133"
"OS1-18788","6521","2.00","12.25","25.00","18.00","2023-04-29","134"
"OS1-18789","2003","1.00","169.11","195.00","179.00","2023-04-29","133"
"OS1-18790","2205","7.00","8.60","10.00","10.00","2023-04-29","134"
"OS1-18791","4263","1.00","28.00","45.00","35.00","2023-04-29","134"
"OS1-18792","4263","1.00","28.00","45.00","35.00","2023-04-29","134"
"OS1-18793","2920","1.00","99.00","189.00","110.00","2023-04-29","134"
"OS1-18794","9711","1.00","397.75","469.00","448.00","2023-04-29","204"
"OS1-18795","2903","1.00","77.21","110.00","88.00","2023-04-29","204"
"OS1-18796","2213","1.00","68.80","80.00","76.00","2023-04-29","204"
"OS1-18797","8049","1.00","8.88","10.00","10.00","2023-04-29","134"
"OS1-18798","1377","1.00","8.88","10.00","10.00","2023-04-29","134"
"OS1-18799","1556","1.00","8.91","10.00","10.00","2023-04-29","134"
"OS1-18716","2367","47.00","26.17","27.00","27.00","2023-04-29","134"
"OS1-18717","2362","2.00","68.50","72.00","72.00","2023-04-29","134"
"OS1-18718","14044","1.00","0.00","50.00","48.00","2023-04-29","134"
"OS1-18719","1423","1.00","109.08","130.00","123.50","2023-04-29","134"
"OS1-18720","1423","2.00","109.08","130.00","123.50","2023-04-29","134"
"OS1-18721","6590","1.00","7.53","30.00","23.00","2023-04-29","134"
"OS1-18722","12698","2.00","44.29","49.00","45.00","2023-04-29","134"
"OS1-18723","1877","2.00","30.50","34.00","34.00","2023-04-29","134"
"OS1-18724","6429","1.00","9.70","25.00","18.00","2023-04-29","134"
"OS1-18725","6429","1.00","9.70","25.00","18.00","2023-04-29","134"
"OS1-18726","6645","1.00","5.00","15.00","8.00","2023-04-29","134"
"OS1-18727","1968","1.00","13.28","16.00","15.20","2023-04-29","134"
"OS1-18728","1968","1.00","13.28","16.00","15.20","2023-04-29","134"
"OS1-18729","13402","1.00","28.50","32.00","32.00","2023-04-29","134"
"OS1-18730","2687","1.00","37.33","42.00","40.00","2023-04-29","134"
"OS1-18731","2361","2.00","31.40","34.00","34.00","2023-04-29","134"
"OS1-18732","6521","1.00","12.25","25.00","18.00","2023-04-29","131"
"OS1-18733","2361","1.00","31.40","34.00","34.00","2023-04-29","134"
"OS1-18734","2361","5.00","31.40","34.00","34.00","2023-04-29","134"
"OS1-18735","1949","1.00","168.00","230.00","175.00","2023-04-29","134"
"OS1-18736","7565","1.00","315.18","385.00","333.00","2023-04-29","134"
"OS1-18737","6549","10.00","5.67","10.00","6.00","2023-04-29","134"
"OS1-18738","9317","1.00","8.45","10.00","10.00","2023-04-29","134"
"OS1-18739","2361","1.00","31.40","34.00","34.00","2023-04-29","134"
"OS1-18740","13748","1.00","31.05","35.00","33.00","2023-04-29","134"
"OS1-18741","944","1.00","30.10","35.00","33.25","2023-04-29","134"
"OS1-18742","11520","10.00","38.70","45.00","42.75","2023-04-29","134"
"OS1-18743","910","2.00","17.20","20.00","19.00","2023-04-29","134"
"OS1-18744","2920","1.00","99.00","189.00","110.00","2023-04-29","134"
"OS1-18745","5962","1.00","15.00","30.00","22.00","2023-04-29","134"
"OS1-18746","13578","1.00","26.24","35.00","30.00","2023-04-29","134"
"OS1-18747","2206","1.00","25.80","30.00","28.50","2023-04-29","134"
"OS1-18748","912","1.00","38.70","45.00","42.75","2023-04-29","134"
"OS1-18749","5957","1.00","37.50","65.00","50.00","2023-04-29","134"
"OS1-18750","12944","1.00","79.25","88.00","83.60","2023-04-29","134"
"OS1-18751","8234","1.00","125.00","175.00","140.00","2023-04-29","134"
"OS1-18752","911","1.00","34.40","40.00","38.00","2023-04-29","134"
"OS1-18629","2367","20.00","26.17","27.00","27.00","2023-04-28","134"
"OS1-18630","11117","1.00","48.04","60.00","54.00","2023-04-28","134"
"OS1-18631","13402","2.00","28.50","32.00","32.00","2023-04-28","134"
"OS1-18632","6052","1.00","52.00","85.00","58.00","2023-04-28","134"
"OS1-18633","6052","1.00","52.00","85.00","58.00","2023-04-28","134"
"OS1-18634","7624","1.00","189.33","245.00","210.00","2023-04-28","134"
"OS1-18635","6453","1.00","38.00","65.00","45.00","2023-04-28","134"
"OS1-18636","12658","100.00","44.00","60.00","45.00","2023-04-28","134"
"OS1-18637","2362","1.00","68.50","72.00","72.00","2023-04-28","134"
"OS1-18638","5493","2.00","47.19","60.00","54.00","2023-04-28","134"
"OS1-18639","2201","2.00","34.40","40.00","38.00","2023-04-28","134"
"OS1-18640","13402","1.00","28.50","32.00","32.00","2023-04-28","134"
"OS1-18641","14149","1.00","0.00","480.00","442.00","2023-04-28","134"
"OS1-18642","2141","1.00","117.02","188.00","175.00","2023-04-28","134"
"OS1-18643","1632","1.00","75.00","82.00","77.90","2023-04-28","134"
"OS1-18644","652","1.00","135.20","169.00","155.00","2023-04-28","134"
"OS1-18645","2362","1.00","68.50","72.00","72.00","2023-04-28","134"
"OS1-18646","2361","2.00","31.40","34.00","34.00","2023-04-28","134"
"OS1-18647","6521","1.00","12.25","25.00","18.00","2023-04-28","134"
"OS1-18648","911","20.00","34.40","40.00","38.00","2023-04-28","131"
"OS1-18649","2901","1.00","80.73","115.00","91.00","2023-04-28","134"
"OS1-18650","5946","1.00","50.00","75.00","65.00","2023-04-28","131"
"OS1-18651","2920","1.00","99.00","189.00","110.00","2023-04-28","134"
"OS1-18652","2201","1.00","34.40","40.00","38.00","2023-04-28","134"
"OS1-18653","5946","2.00","50.00","75.00","65.00","2023-04-28","131"
"OS1-18654","1331","1.00","159.50","240.00","188.00","2023-04-28","131"
"OS1-18655","5913","2.00","31.35","58.00","41.00","2023-04-28","131"
"OS1-18656","6549","5.00","5.67","10.00","6.00","2023-04-28","134"
"OS1-18657","943","3.00","17.20","20.00","19.00","2023-04-28","134"
"OS1-18658","4142","4.00","90.00","150.00","98.00","2023-04-28","131"
"OS1-18659","910","1.00","17.20","20.00","19.00","2023-04-28","134"
"OS1-18660","12944","1.00","79.25","88.00","83.60","2023-04-28","134"
"OS1-18661","13583","1.00","14.25","16.00","16.00","2023-04-28","134"
"OS1-18662","6081","10.00","29.00","75.00","45.00","2023-04-28","131"
"OS1-18663","5946","10.00","50.00","75.00","65.00","2023-04-28","131"
"OS1-18664","2361","1.00","31.40","34.00","34.00","2023-04-28","134"
"OS1-18665","2361","1.00","31.40","34.00","34.00","2023-04-28","134"
"OS1-18666","2362","2.00","68.50","72.00","72.00","2023-04-28","134"
"OS1-18667","2362","1.00","68.50","72.00","72.00","2023-04-28","134"
"OS1-18668","2361","1.00","31.40","34.00","34.00","2023-04-28","134"
"OS1-18669","651","1.00","135.20","180.00","169.00","2023-04-28","134"
"OS1-18670","6549","10.00","5.67","10.00","6.00","2023-04-28","134"
"OS1-18671","2361","1.00","31.40","34.00","34.00","2023-04-28","134"
"OS1-18672","4142","1.00","90.00","150.00","98.00","2023-04-28","131"
"OS1-18673","2201","1.00","34.40","40.00","38.00","2023-04-28","134"
"OS1-18674","11117","20.00","48.04","60.00","54.00","2023-04-28","131"
"OS1-18675","2194","5.00","8.60","10.00","10.00","2023-04-28","134"
"OS1-18676","916","1.00","17.20","20.00","19.00","2023-04-28","134"
"OS1-18677","4276","2.00","31.04","65.00","42.00","2023-04-28","134"
"OS1-18678","2206","1.00","25.80","30.00","28.50","2023-04-28","134"
"OS1-18679","10343","1.00","80.00","120.00","105.00","2023-04-28","131"
